commodity,moisture_content,fat_oil_content,ph,respiration_rate,required_shelf_life,storage_temperature,storage_humidity,storage_condition,transport_condition,recommended_packaging_material,_split_group
tomatoes,94.5,0.2,4.3,7.5,7,10.0,90.0,ambient,local,breathable_pe_film,tomatoes:0
tomatoes,94.5,0.2,4.3,7.5,7,10.0,90.0,ambient,long,breathable_pe_film,tomatoes:1
tomatoes,94.5,0.2,4.3,7.5,14,10.0,90.0,ambient,local,microperforated_polyolefin,tomatoes:2
tomatoes,94.5,0.2,4.3,7.5,14,10.0,90.0,ambient,long,microperforated_polyolefin,tomatoes:3
tomatoes,94.5,0.2,4.3,7.5,7,10.0,95.0,ambient,local,breathable_pe_film,tomatoes:4
tomatoes,94.5,0.2,4.3,7.5,7,10.0,95.0,ambient,long,breathable_pe_film,tomatoes:5
tomatoes,94.5,0.2,4.3,7.5,14,10.0,95.0,ambient,local,microperforated_polyolefin,tomatoes:6
tomatoes,94.5,0.2,4.3,7.5,14,10.0,95.0,ambient,long,microperforated_polyolefin,tomatoes:7
tomatoes,94.5,0.2,4.3,13.5,7,15.0,90.0,ambient,local,microperforated_polyolefin,tomatoes:8
tomatoes,94.5,0.2,4.3,13.5,7,15.0,90.0,ambient,long,microperforated_polyolefin,tomatoes:9
tomatoes,94.5,0.2,4.3,13.5,14,15.0,90.0,ambient,local,microperforated_polyolefin,tomatoes:10
tomatoes,94.5,0.2,4.3,13.5,14,15.0,90.0,ambient,long,microperforated_polyolefin,tomatoes:11
tomatoes,94.5,0.2,4.3,13.5,7,15.0,95.0,ambient,local,microperforated_polyolefin,tomatoes:12
tomatoes,94.5,0.2,4.3,13.5,7,15.0,95.0,ambient,long,microperforated_polyolefin,tomatoes:13
tomatoes,94.5,0.2,4.3,13.5,14,15.0,95.0,ambient,local,microperforated_polyolefin,tomatoes:14
tomatoes,94.5,0.2,4.3,13.5,14,15.0,95.0,ambient,long,microperforated_polyolefin,tomatoes:15
potato_chips,1.86,34.0,6.2,0.0,30,20.0,40.0,ambient,local,metallized_laminate,potato_chips:0
potato_chips,1.86,34.0,6.2,0.0,30,20.0,40.0,ambient,long,metallized_laminate,potato_chips:1
potato_chips,1.86,34.0,6.2,0.0,30,20.0,40.0,ambient,rough,foil_laminate,potato_chips:2
potato_chips,1.86,34.0,6.2,0.0,90,20.0,40.0,ambient,local,metallized_laminate,potato_chips:3
potato_chips,1.86,34.0,6.2,0.0,90,20.0,40.0,ambient,long,metallized_laminate,potato_chips:4
potato_chips,1.86,34.0,6.2,0.0,90,20.0,40.0,ambient,rough,foil_laminate,potato_chips:5
potato_chips,1.86,34.0,6.2,0.0,180,20.0,40.0,ambient,local,foil_laminate,potato_chips:6
potato_chips,1.86,34.0,6.2,0.0,180,20.0,40.0,ambient,long,foil_laminate,potato_chips:7
potato_chips,1.86,34.0,6.2,0.0,180,20.0,40.0,ambient,rough,foil_laminate,potato_chips:8
potato_chips,1.86,34.0,6.2,0.0,270,20.0,40.0,ambient,local,foil_laminate,potato_chips:9
potato_chips,1.86,34.0,6.2,0.0,270,20.0,40.0,ambient,long,foil_laminate,potato_chips:10
potato_chips,1.86,34.0,6.2,0.0,270,20.0,40.0,ambient,rough,foil_laminate,potato_chips:11
potato_chips,1.86,34.0,6.2,0.0,30,20.0,60.0,ambient,local,metallized_laminate,potato_chips:12
potato_chips,1.86,34.0,6.2,0.0,30,20.0,60.0,ambient,long,metallized_laminate,potato_chips:13
potato_chips,1.86,34.0,6.2,0.0,30,20.0,60.0,ambient,rough,foil_laminate,potato_chips:14
potato_chips,1.86,34.0,6.2,0.0,90,20.0,60.0,ambient,local,metallized_laminate,potato_chips:15
potato_chips,1.86,34.0,6.2,0.0,90,20.0,60.0,ambient,long,metallized_laminate,potato_chips:16
potato_chips,1.86,34.0,6.2,0.0,90,20.0,60.0,ambient,rough,foil_laminate,potato_chips:17
potato_chips,1.86,34.0,6.2,0.0,180,20.0,60.0,ambient,local,foil_laminate,potato_chips:18
potato_chips,1.86,34.0,6.2,0.0,180,20.0,60.0,ambient,long,foil_laminate,potato_chips:19
potato_chips,1.86,34.0,6.2,0.0,180,20.0,60.0,ambient,rough,foil_laminate,potato_chips:20
potato_chips,1.86,34.0,6.2,0.0,270,20.0,60.0,ambient,local,foil_laminate,potato_chips:21
potato_chips,1.86,34.0,6.2,0.0,270,20.0,60.0,ambient,long,foil_laminate,potato_chips:22
potato_chips,1.86,34.0,6.2,0.0,270,20.0,60.0,ambient,rough,foil_laminate,potato_chips:23
potato_chips,1.86,34.0,6.2,0.0,30,20.0,80.0,ambient,local,metallized_laminate,potato_chips:24
potato_chips,1.86,34.0,6.2,0.0,30,20.0,80.0,ambient,long,metallized_laminate,potato_chips:25
potato_chips,1.86,34.0,6.2,0.0,30,20.0,80.0,ambient,rough,foil_laminate,potato_chips:26
potato_chips,1.86,34.0,6.2,0.0,90,20.0,80.0,ambient,local,metallized_laminate,potato_chips:27
potato_chips,1.86,34.0,6.2,0.0,90,20.0,80.0,ambient,long,metallized_laminate,potato_chips:28
potato_chips,1.86,34.0,6.2,0.0,90,20.0,80.0,ambient,rough,foil_laminate,potato_chips:29
potato_chips,1.86,34.0,6.2,0.0,180,20.0,80.0,ambient,local,foil_laminate,potato_chips:30
potato_chips,1.86,34.0,6.2,0.0,180,20.0,80.0,ambient,long,foil_laminate,potato_chips:31
potato_chips,1.86,34.0,6.2,0.0,180,20.0,80.0,ambient,rough,foil_laminate,potato_chips:32
potato_chips,1.86,34.0,6.2,0.0,270,20.0,80.0,ambient,local,foil_laminate,potato_chips:33
potato_chips,1.86,34.0,6.2,0.0,270,20.0,80.0,ambient,long,foil_laminate,potato_chips:34
potato_chips,1.86,34.0,6.2,0.0,270,20.0,80.0,ambient,rough,foil_laminate,potato_chips:35
potato_chips,1.86,34.0,6.2,0.0,30,25.0,40.0,ambient,local,metallized_laminate,potato_chips:36
potato_chips,1.86,34.0,6.2,0.0,30,25.0,40.0,ambient,long,metallized_laminate,potato_chips:37
potato_chips,1.86,34.0,6.2,0.0,30,25.0,40.0,ambient,rough,foil_laminate,potato_chips:38
potato_chips,1.86,34.0,6.2,0.0,90,25.0,40.0,ambient,local,metallized_laminate,potato_chips:39
potato_chips,1.86,34.0,6.2,0.0,90,25.0,40.0,ambient,long,metallized_laminate,potato_chips:40
potato_chips,1.86,34.0,6.2,0.0,90,25.0,40.0,ambient,rough,foil_laminate,potato_chips:41
potato_chips,1.86,34.0,6.2,0.0,180,25.0,40.0,ambient,local,foil_laminate,potato_chips:42
potato_chips,1.86,34.0,6.2,0.0,180,25.0,40.0,ambient,long,foil_laminate,potato_chips:43
potato_chips,1.86,34.0,6.2,0.0,180,25.0,40.0,ambient,rough,foil_laminate,potato_chips:44
potato_chips,1.86,34.0,6.2,0.0,270,25.0,40.0,ambient,local,foil_laminate,potato_chips:45
potato_chips,1.86,34.0,6.2,0.0,270,25.0,40.0,ambient,long,foil_laminate,potato_chips:46
potato_chips,1.86,34.0,6.2,0.0,270,25.0,40.0,ambient,rough,foil_laminate,potato_chips:47
potato_chips,1.86,34.0,6.2,0.0,30,25.0,60.0,ambient,local,metallized_laminate,potato_chips:48
potato_chips,1.86,34.0,6.2,0.0,30,25.0,60.0,ambient,long,metallized_laminate,potato_chips:49
potato_chips,1.86,34.0,6.2,0.0,30,25.0,60.0,ambient,rough,foil_laminate,potato_chips:50
potato_chips,1.86,34.0,6.2,0.0,90,25.0,60.0,ambient,local,metallized_laminate,potato_chips:51
potato_chips,1.86,34.0,6.2,0.0,90,25.0,60.0,ambient,long,metallized_laminate,potato_chips:52
potato_chips,1.86,34.0,6.2,0.0,90,25.0,60.0,ambient,rough,foil_laminate,potato_chips:53
